"","Package","ReverseLinkingTo"
"1","Boom","bsts"
"2","rstan","bayesdfa"
"3","rstan","bayesLopod"
"4","rstan","beanz"
"5","rstan","bmlm"
"6","rstan","BMSC"
"7","rstan","breathteststan"
"8","rstan","conStruct"
"9","rstan","ctsem"
"10","rstan","dfpk"
"11","rstan","eggCounts"
"12","rstan","gastempt"
"13","rstan","glmmfields"
"14","rstan","idealstan"
"15","rstan","idem"
"16","rstan","MADPop"
"17","rstan","MetaStan"
"18","rstan","RBesT"
"19","rstan","rstanarm"
"20","rstan","survHE"
"21","rstan","tmbstan"
"22","rstan","trialr"
"23","rstan","walker"
"24","stochvol","factorstochvol"
